Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.060664021541
50100000,-19.0576284305561
50200000,-19.0869300460652
50300000,-19.0846293915914
50400000,-19.099232276876
50500000,-19.0991364319359
50600000,-19.1049200790857
50700000,-19.1077639801905
50800000,-19.1106078812954
50900000,-19.122271020535
51000000,-19.1214402390837
51100000,-19.1478021085479
51200000,-19.1366822159394
51300000,-19.1454056091341
51400000,-19.1511892562839
51500000,-19.1716716336583
51600000,-19.1627565505834
51700000,-19.1597209595985
51800000,-19.1713840988381
51900000,-19.1859869841226
52000000,-19.1792767105815
52100000,-19.1769760561077
52200000,-19.2033379255719
52300000,-19.2032420806319
52400000,-19.2060859817367
52500000,-19.2177491209764
52600000,-19.229412260216
52700000,-19.2432802089893
52800000,-19.2409795545155
52900000,-19.2548475032888
53000000,-19.2525468488151
53100000,-19.2671497340996
53200000,-19.2641141431146
53300000,-19.2809218379329
53400000,-19.3021391518185
53500000,-19.3138022910581
53600000,-19.3048872079833
53700000,-19.301116680487
53800000,-19.3311532325074
53900000,-19.3391416891909
54000000,-19.3339012886722
54100000,-19.336745189777
54200000,-19.3476733925054
54300000,-19.3769750080146
54400000,-19.3680599249398
54500000,-19.3628195244211
54600000,-19.3686031715708
54700000,-19.4126035173046
54800000,-19.4007486881849
54900000,-19.3977130971999
55000000,-19.4034967443496
55100000,-19.426918867769
55200000,-19.440051880031
55300000,-19.4318717334674
55400000,-19.4376553806172
55500000,-19.4324149800985
55600000,-19.4815598814109
55700000,-19.4697050522911
55800000,-19.4615249057275
55900000,-19.4643688068324
56000000,-19.4936704223415
56100000,-19.5053335615812
56200000,-19.4956835419951
56300000,-19.5080816177459
56400000,-19.5256242490754
56500000,-19.5475764994722
56600000,-19.5393963529087
56700000,-19.5370956984349
56800000,-19.5575780758093
56900000,-19.5810001992286
57000000,-19.5691453701088
57100000,-19.5661097791238
57200000,-19.5689536802287
57300000,-19.592375803648
57400000,-19.6040389428876
57500000,-19.6032081614363
57600000,-19.6207507927658
57700000,-19.618450138292
57800000,-19.6389325156664
57900000,-19.6447161628162
58000000,-19.6563793020558
58100000,-19.6621629492056
58200000,-19.679705580535
58300000,-19.6788747990837
58400000,-19.6875981922784
58500000,-19.6823577917597
58600000,-19.7021052326229
58700000,-19.7203828004636
58800000,-19.7107327808776
58900000,-19.7400343963867
59000000,-19.7369988054017
59100000,-19.7405776430178
59200000,-19.7610600203922
59300000,-19.783012270789
59400000,-19.7667478226019
59500000,-19.7784109618415
59600000,-19.7893391645699
59700000,-19.8193757165903
59800000,-19.8134003795604
59900000,-19.8133045346203
60000000,-19.8337869119947
60100000,-19.8425103051894
60200000,-19.8681372381424
60300000,-19.8540775994889
60400000,-19.8569215005938
60500000,-19.8803436240131
60600000,-19.8920067632527
60700000,-19.8919109183126
60800000,-19.8940198829062
60900000,-19.9115625142357
61000000,-19.9533580504358
61100000,-19.9562019515407
61200000,-19.9553711700894
61300000,-19.9501307695707
61400000,-19.9515047976531
61500000,-19.9469993336456
61600000,-19.9733612031098
61700000,-20.0056025646639
61800000,-20.0025669736789
61900000,-20.0054108747838
62000000,-20.0280980616919
62100000,-20.0544599311561
62200000,-20.0404002925026
62300000,-20.0403044475626
62400000,-20.0519675868022
62500000,-20.0900884404461
62600000,-20.0988118336408
62700000,-20.0840172584761
62800000,-20.1015598898056
62900000,-20.1014640448655
63000000,-20.1329704699084
63100000,-20.1306698154346
63200000,-20.1386582721181
63300000,-20.1598755860037
63400000,-20.1766832808219
