Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.3218492710405
50100000,-19.3188136470966
50200000,-19.3209225787312
50300000,-19.3098026531637
50400000,-19.3126465213096
50500000,-19.333128865725
50600000,-19.368309940365
50700000,-19.3704188719996
50800000,-19.3703229941006
50900000,-19.3643476241117
51000000,-19.4208418575774
51100000,-19.3854690271393
51200000,-19.3765539111054
51300000,-19.4051205571444
51400000,-19.4020849332004
51500000,-19.4225672776158
51600000,-19.4165919076269
51700000,-19.4231104583289
51800000,-19.4377133106545
51900000,-19.4611354011148
52000000,-19.4573648406596
52100000,-19.4638833913616
52200000,-19.4689320690412
52300000,-19.519546810417
52400000,-19.5040172657821
52500000,-19.5046563243943
52600000,-19.5075001925402
52700000,-19.5272476004444
52800000,-19.5447901988148
52900000,-19.5329353367361
53000000,-19.5335743953483
53100000,-19.5386230730278
53200000,-19.5649849095331
53300000,-19.5626842221003
53400000,-19.5787569474484
53500000,-19.5742514504819
53600000,-19.6211915093016
53700000,-19.6137462662902
53800000,-19.6026263407227
53900000,-19.6179641295595
54000000,-19.6266874897953
54100000,-19.6523143897893
54200000,-19.6375197816656
54300000,-19.6491828879462
54400000,-19.6586411846932
54500000,-19.6908825132883
54600000,-19.6863770163218
54700000,-19.6789317733105
54800000,-19.6722214668103
54900000,-19.7345951923659
55000000,-19.7330294414444
55100000,-19.7167649602982
55200000,-19.7137293363543
55300000,-19.7371514268146
55400000,-19.7598385807637
55500000,-19.757537893331
55600000,-19.7721407456565
55700000,-19.7838038519371
55800000,-19.7800332914819
55900000,-19.783612096139
56000000,-19.8173232977566
56100000,-19.8098780547452
56200000,-19.8421193833403
56300000,-19.8581921086883
56400000,-19.8470721831208
56500000,-19.8565304798678
56600000,-19.8593743480136
56700000,-19.8879409940526
56800000,-19.8827005605749
56900000,-19.8884841747657
57000000,-19.8883882968666
57100000,-19.9198946889505
57200000,-19.9146542554728
57300000,-19.9351365998882
57400000,-19.9350407219892
57500000,-19.9819807808089
57600000,-19.9642464266403
57700000,-19.9641505487412
57800000,-19.9816931471117
57900000,-19.9933562533923
58000000,-20.0167783438527
58100000,-20.0166824659536
58200000,-20.0334901278129
58300000,-20.0341291864251
58400000,-20.0810692452447
58500000,-20.0486361608516
58600000,-20.0485402829525
58700000,-20.066082881323
58800000,-20.0799507971373
58900000,-20.1033728875976
59000000,-20.1040119462098
59100000,-20.1097955604006
59200000,-20.1243984127261
59300000,-20.1536999952763
59400000,-20.1536041173773
59500000,-20.1417492552985
59600000,-20.1651713457589
59700000,-20.1915331822641
59800000,-20.191437304365
59900000,-20.2060401566906
60000000,-20.2177032629712
60100000,-20.2440650994765
60200000,-20.2373547929763
60300000,-20.2254999308976
60400000,-20.2496569578692
60500000,-20.2789585404193
60600000,-20.2906216467
60700000,-20.287586022756
60800000,-20.2992491290366
60900000,-20.2903340130028
61000000,-20.3460933099573
61100000,-20.335708320901
61200000,-20.3282630778897
61300000,-20.35168516835
61400000,-20.3662880206755
61500000,-20.3882402381134
61600000,-20.380794995102
61700000,-20.3895183553377
61800000,-20.415880191843
61900000,-20.4187240599889
62000000,-20.4215679281347
62100000,-20.4361707804603
62200000,-20.4507736327858
62300000,-20.4646415486001
62400000,-20.4616059246562
62500000,-20.4820882690716
62600000,-20.4797875816388
62700000,-20.5326071325484
62800000,-20.5383907467392
62900000,-20.5375599323289
63000000,-20.5352592448961
63100000,-20.5528018432666
63200000,-20.5843082353505
63300000,-20.5783328653616
63400000,-20.5929357176871
