Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-18.7877669191973
50100000,-18.7854662921894
50200000,-18.7971294588948
50300000,-18.8058528795553
50400000,-18.8057570620811
50500000,-18.8086009906517
50600000,-18.8202641573572
50700000,-18.8194334033717
50800000,-18.8377109986782
50900000,-18.837615181204
51000000,-18.8375193637297
51100000,-18.855062022525
51200000,-18.8571710145844
51300000,-18.8519306415316
51400000,-18.8577143161472
51500000,-18.8605582447179
51600000,-18.8663419193334
51700000,-18.8691858479041
51800000,-18.8867285066994
51900000,-18.8954519273599
52000000,-18.9005006654643
52100000,-18.9040795305462
52200000,-18.901043967027
52300000,-18.9127071337324
52400000,-18.9155510623031
52500000,-18.9213347369187
52600000,-18.9271184115343
52700000,-18.9373117052173
52800000,-18.9291315861195
52900000,-18.940794752825
53000000,-18.9443736179069
53100000,-18.9611813401909
53200000,-18.9522662845819
53300000,-18.9529054036189
53400000,-18.9748576814815
53500000,-18.9666775623838
53600000,-18.9731961735106
53700000,-18.9907388323059
53800000,-19.0024019990113
53900000,-19.005245927582
54000000,-19.0051501101077
54100000,-19.013138594257
54200000,-19.0218620149175
54300000,-19.0225011339545
54400000,-19.0282848085701
54500000,-19.0428877213205
54600000,-19.0449967133799
54700000,-19.0485755784618
54800000,-19.0514195070325
54900000,-19.063082673738
55000000,-19.0718060943985
55100000,-19.0746500229691
55200000,-19.0863131896746
55300000,-19.0862173722003
55400000,-19.0949407928608
55500000,-19.1066039595663
55600000,-19.1028334595359
55700000,-19.0997978960167
55800000,-19.1180754913232
55900000,-19.1319434675624
56000000,-19.1325825865994
56100000,-19.1324867691251
56200000,-19.1441499358306
56300000,-19.1499336104461
56400000,-19.1586570311067
56500000,-19.1761996899019
56600000,-19.1731641263828
56700000,-19.1833574200658
56800000,-19.1781170470129
56900000,-19.1956597058082
57000000,-19.1962988248451
57100000,-19.2197209757303
57200000,-19.2188902217448
57300000,-19.2217341503155
57400000,-19.2164937772626
57500000,-19.2252171979231
57600000,-19.2332056820724
57700000,-19.2338448011094
57800000,-19.2477127773485
57900000,-19.2476169598743
58000000,-19.2747137933156
58100000,-19.2746179758413
58200000,-19.2914256981254
58300000,-19.2825106425164
58400000,-19.2824148250421
58500000,-19.2918731822139
58600000,-19.3005966028744
58700000,-19.3174043251584
58800000,-19.3121639521056
58900000,-19.3319114204345
59000000,-19.3296107934266
59100000,-19.3412739601321
59200000,-19.3441178887027
59300000,-19.3734195316777
59400000,-19.3564201744451
59500000,-19.3467701823249
59600000,-19.37019233321
59700000,-19.3811205634042
59800000,-19.3935186666209
59900000,-19.4044468968151
60000000,-19.4050860158521
60100000,-19.4226286746474
60200000,-19.428412349263
60300000,-19.4283165317887
60400000,-19.4370399524492
60500000,-19.4398838810199
60600000,-19.4427278095906
60700000,-19.4536560397848
60800000,-19.4631143969565
60900000,-19.4777173097069
61000000,-19.4923202224573
61100000,-19.492224404983
61200000,-19.4862490954189
61300000,-19.5037917542142
61400000,-19.5125151748748
61500000,-19.520503659024
61600000,-19.5270222701509
61700000,-19.5372155638338
61800000,-19.531975190781
61900000,-19.5406986114415
62000000,-19.5413377304785
62100000,-19.5581454527625
62200000,-19.5551098892434
62300000,-19.5807368496622
62400000,-19.5762314131205
62500000,-19.5996535640057
62600000,-19.6024974925763
62700000,-19.6229798974165
62800000,-19.6170045878525
62900000,-19.6286677545579
63000000,-19.6307767466173
63100000,-19.643174849834
63200000,-19.6636572546742
63300000,-19.6576819451101
63400000,-19.6752246039054
