Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.1724877987749
50100000,-19.1723918549579
50200000,-19.1840548953206
50300000,-19.1957179356832
50400000,-19.2073809760459
50500000,-19.2190440164086
50600000,-19.2189480725916
50700000,-19.2247316208644
50800000,-19.2385994707607
50900000,-19.2355637808988
51000000,-19.2450220117277
51100000,-19.2441911313995
51200000,-19.2565891082734
51300000,-19.2741316407259
51400000,-19.2821199985324
51500000,-19.2768794991368
51600000,-19.306181015769
51700000,-19.3031453259071
51800000,-19.3148083662697
51900000,-19.3235316605875
52000000,-19.3204959707255
52100000,-19.338038503178
52200000,-19.3497015435407
52300000,-19.3525453457686
52400000,-19.3664131956649
52500000,-19.3670521883592
52600000,-19.3787152287218
52700000,-19.3837638404834
52800000,-19.3777884045765
52900000,-19.4107646037649
53000000,-19.407728913903
53100000,-19.4164522082207
53200000,-19.4369344867181
53300000,-19.4456577810359
53400000,-19.439682345129
53500000,-19.4572248775815
53600000,-19.4571289337645
53700000,-19.4768762757507
53800000,-19.4686960303101
53900000,-19.4832988167177
54000000,-19.4920221110355
54100000,-19.4889864211735
54200000,-19.5182879378057
54300000,-19.5270112321235
54400000,-19.5261803517952
54500000,-19.5503373128488
54600000,-19.5502413690318
54700000,-19.5530851712597
54800000,-19.569892767201
54900000,-19.5675920138503
55000000,-19.5990983400162
55100000,-19.5931229041093
55200000,-19.6165449286516
55300000,-19.6171839213459
55400000,-19.6229674696187
55500000,-19.6258112718466
55600000,-19.6404140582542
55700000,-19.6550168446617
55800000,-19.6608003929346
55900000,-19.6695236872523
56000000,-19.6841264736599
56100000,-19.6928497679776
56200000,-19.6956935702055
56300000,-19.7095614201019
56400000,-19.713140158841
56500000,-19.7424416754732
56600000,-19.7452854777011
56700000,-19.7422497878392
56800000,-19.7627320663366
56900000,-19.7626361225196
57000000,-19.7625401787026
57100000,-19.7918416953348
57200000,-19.7917457515178
57300000,-19.818107522105
57400000,-19.8224211973554
57500000,-19.8142409519148
57600000,-19.8266389287887
57700000,-19.8441814612412
57800000,-19.8646637397387
57900000,-19.8748569070789
58000000,-19.8666766616383
58100000,-19.8761348924673
58200000,-19.9024966630546
58300000,-19.9053404652825
58400000,-19.913328823089
58500000,-19.919847307873
58600000,-19.9601728721737
58700000,-19.957872118823
58800000,-19.9636556670958
58900000,-19.9804632630371
59000000,-19.9803673192201
59100000,-19.9979098516726
59200000,-19.9838501141422
59300000,-20.0212359323979
59400000,-20.027754417182
59500000,-20.0408873305671
59600000,-20.0385865772164
59700000,-20.0774422684946
59800000,-20.0744065786326
59900000,-20.0860696189953
60000000,-20.085238738667
60100000,-20.1064559536757
60200000,-20.1173840575271
60300000,-20.132721780446
60400000,-20.129686090584
60500000,-20.1501683690814
60600000,-20.1706506475789
60700000,-20.1639402751608
60800000,-20.193241791793
60900000,-20.1938807844872
61000000,-20.1930499041589
61100000,-20.2135321826564
61200000,-20.2288699055752
61300000,-20.2397980094266
61400000,-20.2639549704802
61500000,-20.2579795345733
61600000,-20.2784618130708
61700000,-20.3040886471468
61800000,-20.3017878937961
61900000,-20.3038967595128
62000000,-20.3280537205664
62100000,-20.333102332328
62200000,-20.3535846108254
62300000,-20.3564284130533
62400000,-20.3717661359721
62500000,-20.3863689223797
62600000,-20.3950922166974
62700000,-20.4089600665938
62800000,-20.4272375355575
62900000,-20.4322861473191
63000000,-20.4388046321032
63100000,-20.4534074185108
63200000,-20.4650704588734
63300000,-20.4995165310842
63400000,-20.4972157777335
