Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.2810227457598
50100000,-19.2787220198749
50200000,-19.2962645797932
50300000,-19.2932289173971
50400000,-19.3019522391807
50500000,-19.3106755609642
50600000,-19.3252783748376
50700000,-19.3244475219752
50800000,-19.3250865421352
50900000,-19.3485085941434
51000000,-19.3484126777922
51100000,-19.3659552377106
51200000,-19.3629195753144
51300000,-19.3569441668734
51400000,-19.3744867267917
51500000,-19.3942340962437
51600000,-19.3889936243139
51700000,-19.3947772000526
51800000,-19.4057053313698
51900000,-19.4533802882486
52000000,-19.4349109591166
52100000,-19.4259958046307
52200000,-19.4266348247907
52300000,-19.4471171307539
52400000,-19.4661295636947
52500000,-19.4616240282761
52600000,-19.4666726675036
52700000,-19.4849501639331
52800000,-19.4811795650258
52900000,-19.4818185851858
53000000,-19.5111201292838
53100000,-19.5080844668877
53200000,-19.5491449951654
53300000,-19.5402298406794
53400000,-19.5342544322384
53500000,-19.5370982619321
53600000,-19.5458215837157
53700000,-19.5743881913024
53800000,-19.5684127828614
53900000,-19.5661120569765
54000000,-19.5807148708499
54100000,-19.5982574307683
54200000,-19.5981615144171
54300000,-19.6157040743354
54400000,-19.6185479040291
54500000,-19.6596084323068
54600000,-19.6536330238658
54700000,-19.6410431868237
54800000,-19.6622604292981
54900000,-19.6768632431715
55000000,-19.6767673268203
55100000,-19.6796111565141
55200000,-19.6883344782976
55300000,-19.6999975461261
55400000,-19.7146003599995
55500000,-19.7203839357382
55600000,-19.7371915591453
55700000,-19.7348908332604
55800000,-19.7583128852685
55900000,-19.7611567149623
56000000,-19.7610607986111
56100000,-19.7727238664396
56200000,-19.787326680313
56300000,-19.7901705100067
56400000,-19.8047733238801
56500000,-19.8134966456637
56600000,-19.8244247769809
56700000,-19.8309432892308
56800000,-19.8426063570593
56900000,-19.8719079011573
57000000,-19.8688722387612
57100000,-19.8834750526346
57200000,-19.8767647076823
57300000,-19.8715242357525
57400000,-19.9000908433393
57500000,-19.9066093555891
57600000,-19.9153326773727
57700000,-19.9152367610215
57800000,-19.9180805907152
57900000,-19.9503218808582
58000000,-19.9649246947316
58100000,-19.9618890323355
58200000,-19.9757569096977
58300000,-19.9734561838127
58400000,-19.9990830453546
58500000,-19.9997220655146
58600000,-20.0099152603207
58700000,-20.0017350423459
58800000,-20.037651015045
58900000,-20.0397599082275
59000000,-20.0550976586122
59100000,-20.055001742261
59200000,-20.0784237942691
59300000,-20.0842073700078
59400000,-20.1017499299261
59500000,-20.1097383151984
59600000,-20.1103773353585
59700000,-20.1279198952768
59800000,-20.1307637249705
59900000,-20.1306678086193
60000000,-20.1687885908521
60100000,-20.1775119126357
60200000,-20.1921147265091
60300000,-20.1934886831803
60400000,-20.180163909627
60500000,-20.209465453725
60600000,-20.2181887755086
60700000,-20.2269120972921
60800000,-20.2319607365195
60900000,-20.2472984869042
61000000,-20.2707205389124
61100000,-20.2853233527858
61200000,-20.2764081982998
61300000,-20.3027699963529
61400000,-20.3144330641814
61500000,-20.3319756240997
61600000,-20.3370242633271
61700000,-20.3288440453524
61800000,-20.3309529385349
61900000,-20.3727484033238
62000000,-20.3697127409277
62100000,-20.3777011262
62200000,-20.3930388765846
62300000,-20.4164609285928
62400000,-20.4163650122416
62500000,-20.4162690958904
62600000,-20.415438243028
62700000,-20.4359205489913
62800000,-20.4652220930893
62900000,-20.4599816211595
63000000,-20.468704942943
63100000,-20.4803680107715
63200000,-20.5155490469594
63300000,-20.5242723687429
63400000,-20.515357214257
