Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.3990367695757
50100000,-19.3982058672748
50200000,-19.3922304093953
50300000,-19.386989888027
50400000,-19.427315430355
50500000,-19.4250146550316
50600000,-19.4366776734216
50700000,-19.4424611997218
50800000,-19.4600037102017
50900000,-19.4591728079007
51000000,-19.4598117786223
51100000,-19.4714747970123
51200000,-19.4801980693574
51300000,-19.5117043735506
51400000,-19.5094035982272
51500000,-19.5122473784825
51600000,-19.5356693810522
51700000,-19.5524769550208
51800000,-19.5501761796974
51900000,-19.5500802139078
52000000,-19.5558637402079
52100000,-19.5785508062664
52200000,-19.5755150944318
52300000,-19.5937925414229
52400000,-19.5936965756332
52500000,-19.6082993400681
52600000,-19.6368658982164
52700000,-19.6308904403369
52800000,-19.6285896650136
52900000,-19.6549514136282
53000000,-19.6636746859733
53100000,-19.6606389741387
53200000,-19.6811212306634
53300000,-19.6927842490535
53400000,-19.7132665055782
53500000,-19.7131705397885
53600000,-19.7218938121336
53700000,-19.7306170844787
53800000,-19.7481595949586
53900000,-19.7561479307925
54000000,-19.7509074094242
54100000,-19.7713896659489
54200000,-19.7889321764288
54300000,-19.7829567185493
54400000,-19.7828607527596
54500000,-19.8004032632394
54600000,-19.8208855197642
54700000,-19.8428376493115
54800000,-19.8383320644544
54900000,-19.8588143209792
55000000,-19.8616581012344
55100000,-19.8674416275346
55200000,-19.9085021063738
55300000,-19.9054663945392
55400000,-19.9024306827046
55500000,-19.9199731931845
55600000,-19.9426602592429
55700000,-19.9315402457848
55800000,-19.9542273118432
55900000,-19.948986790475
56000000,-19.9944568883816
56100000,-19.9840718114347
56200000,-19.9869155916899
56300000,-20.0132773403045
56400000,-20.0308198507844
56500000,-20.0601213454439
56600000,-20.0482663954746
56700000,-20.0386162550389
56800000,-20.0627731941198
56900000,-20.0979541808692
57000000,-20.0949184690346
57100000,-20.1007019953348
57200000,-20.1123650137248
57300000,-20.1460761274517
57400000,-20.1327513044599
57500000,-20.1444143228499
57600000,-20.1560773412399
57700000,-20.1765595977647
57800000,-20.1911623621996
57900000,-20.1910663964099
58000000,-20.199789668755
58100000,-20.204838258544
58200000,-20.2657420231864
58300000,-20.2458027715935
58400000,-20.2552609804498
58500000,-20.2492855225703
58600000,-20.2947556204769
58700000,-20.2873102895749
58800000,-20.2872143237853
58900000,-20.3223953105346
59000000,-20.3186246621888
59100000,-20.3516008394045
59200000,-20.3515048736148
59300000,-20.3719871301396
59400000,-20.3718911643499
59500000,-20.4004577224982
59600000,-20.3974220106636
59700000,-20.3885068067392
59800000,-20.4214829839549
59900000,-20.468422954884
60000000,-20.4536282588697
60100000,-20.45353229308
60200000,-20.4828337877395
60300000,-20.5003762982194
60400000,-20.5113043800982
60500000,-20.5090036047748
60600000,-20.5265461152547
60700000,-20.5440886257345
60800000,-20.5873539141074
60900000,-20.5850531387841
61000000,-20.5790776809046
61100000,-20.5900057627833
61200000,-20.6523794004482
61300000,-20.6603677362821
61400000,-20.6521874688689
61500000,-20.657970995169
61600000,-20.6666942675141
61700000,-20.6717428573031
61800000,-20.6694420819797
61900000,-20.6869845924595
62000000,-20.719225833164
62100000,-20.7426478357337
62200000,-20.745491615989
62300000,-20.7652389360025
62400000,-20.7629381606791
62500000,-20.8245768618328
62600000,-20.8237459595319
62700000,-20.8243849302535
62800000,-20.8419274407333
62900000,-20.8477109670335
63000000,-20.879952207738
63100000,-20.8769164959033
63200000,-20.8944590063832
63300000,-20.8973027866384
63400000,-20.9435078210563
