Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.3275594026445
50100000,-19.3252586492938
50200000,-19.3508854833699
50300000,-19.3485847300192
50400000,-19.3506935957358
50500000,-19.3836697949242
50600000,-19.3953328352869
50700000,-19.3922971454249
50800000,-19.4010204397427
50900000,-19.3979847498807
51000000,-19.4449247427824
51100000,-19.4345396878082
51200000,-19.4270943788789
51300000,-19.4358176731966
51400000,-19.4327819833347
51500000,-19.4694328650792
51600000,-19.4590478101049
51700000,-19.4611566758216
51800000,-19.4794341447853
51900000,-19.5028561693277
52000000,-19.4998204794657
52100000,-19.5136883293621
52200000,-19.5231465601911
52300000,-19.5230506163741
52400000,-19.551617196495
52500000,-19.5463766970994
52600000,-19.5521602453722
52700000,-19.5550040476001
52800000,-19.5901850563222
52900000,-19.5812698743704
53000000,-19.5841136765983
53100000,-19.592836970916
53200000,-19.6221384875482
53300000,-19.6161630516413
53400000,-19.6337055840939
53500000,-19.6424288784116
53600000,-19.6893688713133
53700000,-19.662815213092
53800000,-19.662719269275
53900000,-19.6861412938173
54000000,-19.7213223025394
54100000,-19.7204914222111
54200000,-19.7056967481695
54300000,-19.7063357408637
54400000,-19.7238782733162
54500000,-19.7502400439035
54600000,-19.7501441000865
54700000,-19.7471084102245
54800000,-19.7646509426771
54900000,-19.8086511895339
55000000,-19.7784228487564
55100000,-19.7761220954057
55200000,-19.7958694373919
55300000,-19.7906289379962
55400000,-19.8493279150777
55500000,-19.8514367807943
55600000,-19.8454613448875
55700000,-19.8666785598961
55800000,-19.8834861558374
55900000,-19.8811854024867
56000000,-19.8928484428494
56100000,-19.8956922450773
56200000,-19.9514514761138
56300000,-19.9388616116058
56400000,-19.9306813661652
56500000,-19.9364649144381
56600000,-19.9363689706211
56700000,-19.9730198523656
56800000,-19.964839606925
56900000,-19.974297837754
57000000,-19.9911054336953
57100000,-20.0343707440408
57200000,-20.0173712604655
57300000,-20.0378535389629
57400000,-20.0384925316572
57500000,-20.082492778514
57600000,-20.0676981044723
57700000,-20.0676021606553
57800000,-20.0961687407763
57900000,-20.0938679874256
58000000,-20.1077358373219
58100000,-20.1054350839712
58200000,-20.1376763466483
58300000,-20.1434598949211
58400000,-20.1698216655084
58500000,-20.1609064835566
58600000,-20.1777140794979
58700000,-20.1812928182371
58800000,-20.2252930650939
58900000,-20.2222573752319
59000000,-20.21922168537
59100000,-20.2250052336428
59200000,-20.2484272581851
59300000,-20.2909576320195
59400000,-20.2688135928656
59500000,-20.2709224585822
59600000,-20.2980191656807
59700000,-20.305272586976
59800000,-20.3037067701365
59900000,-20.324189048634
60000000,-20.3417315810865
60100000,-20.3769125898085
60200000,-20.3907804397049
60300000,-20.3730460196183
60400000,-20.3707452662676
60500000,-20.4029865289447
60600000,-20.4315531090657
60700000,-20.4233728636251
60800000,-20.4409153960776
60900000,-20.4783012143334
61000000,-20.4811450165613
61100000,-20.4788442632106
61200000,-20.4875675575283
61300000,-20.5139293281156
61400000,-20.5402910987029
61500000,-20.5490143930206
61600000,-20.5452437666474
61700000,-20.5400032672518
61800000,-20.5744493394626
61900000,-20.5861123798253
62000000,-20.5830766899633
62100000,-20.6013541589271
62200000,-20.6159569453347
62300000,-20.6481982080118
62400000,-20.6481022641947
62500000,-20.6538858124676
62600000,-20.6684885988752
62700000,-20.7213080838667
62800000,-20.7351759337631
62900000,-20.7152367041429
63000000,-20.7268997445055
63100000,-20.7437073404468
63200000,-20.7649245554555
63300000,-20.7707081037283
63400000,-20.7904554457145
