Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.0827312817339
50100000,-19.0826353489032
50200000,-19.0913586542073
50300000,-19.111840943691
50400000,-19.1080703283042
50500000,-19.1116490780297
50600000,-19.111553145199
50700000,-19.1143969584132
50800000,-19.1378189939419
50900000,-19.1406628071561
51000000,-19.1405668743254
51100000,-19.13165170336
51200000,-19.1844711993379
51300000,-19.180700583951
51400000,-19.1725203494968
51500000,-19.1687497341099
51600000,-19.1840874680151
51700000,-19.2016300114539
51800000,-19.1985943325783
51900000,-19.1918839711465
52000000,-19.2042819590068
52100000,-19.2299088040691
52200000,-19.2209936331037
52300000,-19.2216326367842
52400000,-19.2215367039535
52500000,-19.2302600092576
52600000,-19.2448628066515
52700000,-19.2594656040454
52800000,-19.2623094172597
52900000,-19.2644182939626
53000000,-19.270936789733
53100000,-19.282599841082
53200000,-19.2905882098749
53300000,-19.2941669596003
53400000,-19.3028902649044
53500000,-19.3138183797422
53600000,-19.3173971294676
53700000,-19.3224457522155
53800000,-19.3370485496095
53900000,-19.33768755329
54000000,-19.3464108585941
54100000,-19.3668931480778
54200000,-19.3609177231573
54300000,-19.3637615363715
54400000,-19.3813040798104
54500000,-19.3944370041818
54600000,-19.3899314522838
54700000,-19.4045342496777
54800000,-19.404438316847
54900000,-19.4190411142409
55000000,-19.4365836576797
55100000,-19.4335479788041
55200000,-19.4393315380633
55300000,-19.4531993989459
55400000,-19.4560432121602
55500000,-19.4566822158407
55600000,-19.4712850132346
55700000,-19.4917673027184
55800000,-19.4857918777978
55900000,-19.4937802465907
56000000,-19.503238488406
56100000,-19.5031425555753
56200000,-19.5206850990141
56300000,-19.5345529598968
56400000,-19.5285775349763
56500000,-19.561553745151
56600000,-19.5643975583652
56700000,-19.5672413715794
56800000,-19.5789044229284
56900000,-19.5846879821876
57000000,-19.5934112874916
57100000,-19.6109538309305
57200000,-19.5983639774089
57300000,-19.6247257589825
57400000,-19.6194852705732
57500000,-19.6429073061018
57600000,-19.6369318811813
57700000,-19.6397756943955
57800000,-19.6602579838793
57900000,-19.6660415431384
58000000,-19.6688853563527
58100000,-19.6805484077017
58200000,-19.7054403162528
58300000,-19.6862360341301
58400000,-19.6978990854791
58500000,-19.715441628918
58600000,-19.7454780930477
58700000,-19.7240690013913
58800000,-19.7357320527403
58900000,-19.7503348501343
59000000,-19.7495039807923
59100000,-19.7846850005007
59200000,-19.7765047660465
59300000,-19.7727341506596
59400000,-19.7910116306097
59500000,-19.8320721424079
59600000,-19.8194822888863
59700000,-19.8193863560556
59800000,-19.8406035820506
59900000,-19.8463871413098
60000000,-19.8639296847486
60100000,-19.8726529900526
60200000,-19.869617311177
60300000,-19.8783406164811
60400000,-19.8870639217852
60500000,-19.9068112747577
60600000,-19.9133297705281
60700000,-19.918378393276
60800000,-19.9241619525352
60900000,-19.9365599403954
61000000,-19.9357290710535
61100000,-19.9540065510035
61200000,-19.9656696023525
61300000,-19.9736579711454
61400000,-19.9919354510954
61500000,-19.9999238198883
61600000,-20.0086471251924
61700000,-20.0239848590975
61800000,-20.0231539897556
61900000,-20.0531904538853
62000000,-20.0560342670996
62100000,-20.050058842179
62200000,-20.0646616395729
62300000,-20.0755897544107
62400000,-20.0732890120463
62500000,-20.0908315554852
62600000,-20.108374098924
62700000,-20.1229768963179
62800000,-20.1427242492905
62900000,-20.1345440148362
63000000,-20.1506166852526
63100000,-20.1490508793994
63200000,-20.1665934228383
63300000,-20.180461283721
63400000,-20.1781605413566
