Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.6374669537066
50100000,-19.6373710373554
50200000,-19.6519738512288
50300000,-19.6518779348776
50400000,-19.6488422724814
50500000,-19.6605053403099
50600000,-19.6751081541833
50700000,-19.6750122378321
50800000,-19.6807958135708
50900000,-19.6895191353543
51000000,-19.733519409677
51100000,-19.7179898265899
51200000,-19.7098096086152
51300000,-19.709713692264
51400000,-19.7412200458957
51500000,-19.7594975423253
51600000,-19.7594016259741
51700000,-19.7651852017127
51800000,-19.7709687774514
51900000,-19.7943908294595
52000000,-19.7876804845072
52100000,-19.7853797586224
52200000,-19.8051271280744
52300000,-19.8145853863692
52400000,-19.8115497239731
52500000,-19.8136586171555
52600000,-19.8084181452257
52700000,-19.8582979116382
52800000,-19.8339490904164
52900000,-19.8316483645315
53000000,-19.8491909244498
53100000,-19.8395408334526
53200000,-19.857083393371
53300000,-19.8547826674861
53400000,-19.8745300369381
53500000,-19.8722293110532
53600000,-19.9044706011961
53700000,-19.9073144308899
53800000,-19.9248569908082
53900000,-19.9453392967714
54000000,-19.9423036343753
54100000,-19.9620510038273
54200000,-19.9597502779425
54300000,-19.9831723299506
54400000,-19.9918956517342
54500000,-19.9205108937936
54600000,-19.9182101679087
54700000,-19.9181142515575
54800000,-19.9562350337903
54900000,-20.035512260652
55000000,-19.9678021852676
55100000,-19.9647665228715
55200000,-19.9676103525652
55300000,-19.9763336743488
55400000,-19.987261805666
55500000,-19.9849610797811
55600000,-19.9936844015647
55700000,-20.0053474693932
55800000,-20.03391407698
55900000,-20.0161796843592
56000000,-20.0168187045193
56100000,-20.0248070897916
56200000,-20.0482291417998
56300000,-20.04298866987
56400000,-20.0568565472321
56500000,-20.0663148055269
56600000,-20.1014958417148
56700000,-20.1013999253636
56800000,-20.1013040090124
56900000,-20.1122321403297
57000000,-20.1128711604897
57100000,-20.1355582759866
57200000,-20.1273780580119
57300000,-20.1449206179302
57400000,-20.1654029238935
57500000,-20.1535480233626
57600000,-20.1475726149215
57700000,-20.1474766985703
57800000,-20.1650192584887
57900000,-20.2266580090808
58000000,-20.202309187859
58100000,-20.2029482080191
58200000,-20.2116715298026
58300000,-20.2174551055413
58400000,-20.2467566496393
58500000,-20.2510703523555
58600000,-20.243625070892
58700000,-20.2582278847654
58800000,-20.2838547463072
58900000,-20.2815540204224
59000000,-20.2983616438294
59100000,-20.2901814258547
59200000,-20.3047842397281
59300000,-20.3311460377812
59400000,-20.33105012143
59500000,-20.3419782527473
59600000,-20.3396775268624
59700000,-20.3682441344492
59800000,-20.3622687260081
59900000,-20.3629077461681
60000000,-20.3686913219068
60100000,-20.4009326120497
60200000,-20.4243546640579
60300000,-20.4183792556169
60400000,-20.4212230853106
60500000,-20.435825899184
60600000,-20.4379347923665
60700000,-20.4356340664816
60800000,-20.4708151026695
60900000,-20.479538424453
61000000,-20.4794425081018
61100000,-20.4764068457057
61200000,-20.4851301674893
61300000,-20.526190695767
61400000,-20.5253598429045
61500000,-20.5259988630646
61600000,-20.540601676938
61700000,-20.5405057605868
61800000,-20.5815662888645
61900000,-20.580735436002
62000000,-20.5784347101171
62100000,-20.5805436032996
62200000,-20.5958813536843
62300000,-20.6303274533609
62400000,-20.628026727476
62500000,-20.6308705571697
62600000,-20.6447384345319
62700000,-20.6681604865401
62800000,-20.6629200146103
62900000,-20.6775228284837
63000000,-20.6833064042223
63100000,-20.727306678545
63200000,-20.718391524059
63300000,-20.7153558616629
63400000,-20.7270189294914
