Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.6091343491167
50100000,-19.6119781403583
50200000,-19.6317254713582
50300000,-19.632364453066
50400000,-19.6374130538413
50500000,-19.6468712736839
50600000,-19.6555945570154
50700000,-19.655498602212
50800000,-19.6642218855435
50900000,-19.6817644070096
51000000,-19.7140056587004
51100000,-19.7043555292511
51200000,-19.6991150188691
51300000,-19.7225370324251
51400000,-19.7371398078464
51500000,-19.7510076467564
51600000,-19.7362129617285
51700000,-19.7368519434364
51800000,-19.7507197823464
51900000,-19.7719369863687
52000000,-19.7659615394755
52100000,-19.7776245688519
52200000,-19.7657696298688
52300000,-19.818589103874
52400000,-19.8059992283798
52500000,-19.7978189719529
52600000,-19.8006627631945
52700000,-19.8240847767505
52800000,-19.8622055205311
52900000,-19.9003262643118
53000000,-19.9119892936881
53100000,-19.9148330849297
53200000,-19.9257611777948
53300000,-19.8874485244074
53400000,-19.8763285219356
53500000,-19.8909312973569
53600000,-19.8967148346434
53700000,-19.8980887528625
53800000,-19.8906434329469
53900000,-19.9162702560366
54000000,-19.9198489837894
54100000,-19.9542950450139
54200000,-19.946114788587
54300000,-19.9518983258735
54400000,-19.9429831329354
54500000,-19.9869833688058
54600000,-19.9810079219127
54700000,-19.9948757608227
54800000,-19.9925749964857
54900000,-20.0365752323561
55000000,-20.04676838871
55100000,-20.0452025608842
55200000,-20.0620101458391
55300000,-20.0597093815021
55400000,-20.1095891094624
55500000,-20.0977341704794
55600000,-20.1035177077659
55700000,-20.1386987055016
55800000,-20.1400726237207
55900000,-20.132627303805
56000000,-20.1472300792263
56100000,-20.1383148862882
56200000,-20.1881946142485
56300000,-20.1961829610687
56400000,-20.1909424506867
56500000,-20.1967259879732
56600000,-20.2083890173496
56700000,-20.2421001420628
56800000,-20.2317150761022
56900000,-20.2367636768775
57000000,-20.2374026585854
57100000,-20.2689089737649
57200000,-20.263668463383
57300000,-20.2694520006695
57400000,-20.2899342681806
57500000,-20.3398139961409
57600000,-20.3110555173996
57700000,-20.2947909593492
57800000,-20.3270322110399
57900000,-20.3276711927478
58000000,-20.3915147144215
58100000,-20.3737802833486
58200000,-20.3714795190116
58300000,-20.4096002627922
58400000,-20.4124440540338
58500000,-20.410878226208
58600000,-20.4034329062923
58700000,-20.4297946658933
58800000,-20.4737949017638
58900000,-20.4648797088257
59000000,-20.4677235000672
59100000,-20.4698323547976
59200000,-20.4792905746402
59300000,-20.5078571437749
59400000,-20.5055563794378
59500000,-20.5201591548591
59600000,-20.5171234540108
59700000,-20.5486297691904
59800000,-20.5455940683421
59900000,-20.5609317802746
60000000,-20.5725948096509
60100000,-20.6048360613417
60200000,-20.6216436462967
60300000,-20.6134633898698
60400000,-20.6155722446001
60500000,-20.6338497025775
60600000,-20.6749101924031
60700000,-20.6718744915548
60800000,-20.6835375209312
60900000,-20.674622327993
61000000,-20.7215623099084
61100000,-20.8037792443629
61200000,-20.7199005272793
61300000,-20.7124552073636
61400000,-20.7652746813689
61500000,-20.7681184726105
61600000,-20.7886007401216
61700000,-20.8120227536776
61800000,-20.9464201804294
61900000,-20.9470591621373
62000000,-20.9616619375585
62100000,-20.9314335857947
62200000,-20.879157138694
62300000,-20.8790611838907
62400000,-20.928940911851
62500000,-21.0640732751141
62600000,-21.0683869393781
62700000,-21.0580018734175
62800000,-21.0902431251083
62900000,-21.0570750272996
63000000,-20.9651120085924
63100000,-20.9547269426319
63200000,-21.0016669245473
63300000,-21.0103902078787
63400000,-21.0426314595695
